Elevation,H,D,E,Y
100.6946417,24,240,2.90E+07,32000
100.7021875,,,,
100.7005471,,,,
100.6982506,,,,
100.6943136,,,,
100.6936574,,,,
100.6847993,,,,
100.6759411,,,,
100.667411,,,,
100.6687234,,,,
100.6690514,,,,
100.7034998,,,,
100.699891,,,,
100.7117018,,,,
100.7025156,,,,
100.7005471,,,,
100.6851274,,,,
100.6693795,,,,
100.6621618,,,,
100.6451016,,,,
100.646742,,,,
100.6572406,,,,
100.6723322,,,,
100.6739726,,,,
100.67955,,,,
100.6926732,,,,
100.7015314,,,,
100.7021875,,,,
100.6910328,,,,
100.683487,,,,
100.67955,,,,
100.6874239,,,,
100.6893924,,,,
100.6985786,,,,
100.7235127,,,,
100.7323709,,,,
100.7284339,,,,
100.7133422,,,,
100.7028437,,,,
100.692017,,,,
100.6825027,,,,
100.667083,,,,
100.6638022,,,,
100.6611775,,,,
100.6910328,,,,
100.671348,,,,
100.683487,,,,
100.6893924,,,,
100.6949698,,,,
100.6907047,,,,
100.6907047,,,,
100.6893924,,,,
100.683487,,,,
100.6749569,,,,
100.6765973,,,,
100.6437893,,,,
100.700219,,,,
100.7064526,,,,
100.7031718,,,,
100.6995629,,,,
100.6995629,,,,
100.6893924,,,,
100.6841431,,,,
100.683487,,,,
100.6654426,,,,
100.6464139,,,,
100.6431331,,,,
100.6286976,,,,
100.6280414,,,,
100.6227922,,,,
100.6280414,,,,
100.6405085,,,,
100.6523194,,,,
100.6582248,,,,
100.6628179,,,,
100.6723322,,,,
100.6818466,,,,
100.6887362,,,,
100.6926732,,,,
100.7021875,,,,
100.7044841,,,,
100.7218723,,,,
100.7189196,,,,
100.7110457,,,,
100.6923451,,,,
100.687752,,,,
100.6851274,,,,
100.6841431,,,,
100.6923451,,,,
100.6949698,,,,
